host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
freshdentalcr.com,68,C,99,80,40,30,,no,no,no,1.67
jysdentalcare.com,45,D,95,40,22,0,,no,no,no,2.17
clinicagoodsmile.com,60,C,55,73,62,46,WordPress,sí,sí,no,8.13
clinicapertenesercr.com,56,C,38,78,78,26,Wix,sí,no,no,11.42
dcdentalcr.com,76,B,56,90,78,82,WordPress,sí,sí,sí,20.2
clinicadentalcoto.com,59,C,74,77,40,30,,no,no,no,4.91
costaricadentalsmile.com,57,C,50,95,66,0,Wix,no,no,no,
clinicadentalrociodelgadoaiza.com,76,B,96,100,56,30,WordPress,no,sí,no,2.55
casadenscr.com,60,C,65,78,56,30,WordPress,no,sí,no,7.38
dentalteamcr.com,54,D,43,70,82,16,Next.js,sí,no,no,12.34
qadentalcare.com,55,C,54,49,72,46,WordPress,sí,sí,no,11.66
clinicanavarrogarcia.com,69,C,55,80,88,56,WordPress,sí,sí,no,21.4
clinicadulcenombre.com,50,D,59,44,68,26,WordPress,sí,no,no,22.51
alphadent-cr.com,53,D,57,60,72,16,WordPress,sí,no,no,8.49
clinicavictorsanchez.com,46,D,63,34,74,10,,no,no,no,7.12
primedentalcr.com,31,E,72,24,10,0,,no,no,no,3.84
maxilofacialalajuela.com,68,C,63,100,84,10,Wix,no,no,no,4.17
moreradental.com,41,D,50,40,40,30,,no,no,no,
arguedassanchezdental.com,51,D,23,100,40,30,,no,no,no,10.76
dentalhealthcostarica.com,58,C,71,77,40,30,,no,no,no,5
draadrianagutierrez.com,64,C,68,100,40,30,,no,no,no,7.68
odontoser.clinic,60,C,67,56,90,26,Next.js,sí,no,no,7.35
dentistcostarica.com,39,E,36,66,44,0,,no,no,no,13
bestdentcr.com,62,C,48,100,72,16,Wix,sí,no,no,8.18
dentuscr.wordpress.com,62,C,79,73,74,10,WordPress,no,no,no,4.88
smiledentalcare.cr,41,D,50,40,40,30,,no,no,no,
gildentalclinic.com,62,C,50,80,60,56,WordPress,sí,sí,no,
dentalavenuecr.com,60,C,50,73,74,40,WordPress,no,sí,no,
admiradentalcr.com,55,C,50,90,50,16,Wix,sí,no,no,
santaanadent.com,42,D,50,54,54,0,WordPress,no,no,no,
costaricanbiodental.com,49,D,50,50,68,26,WordPress,sí,no,no,
arcodental.com,48,D,56,54,44,30,WordPress,no,sí,no,9.95
centromedicotresrios.com,74,B,83,78,82,46,Next.js,sí,sí,no,4.34
frenillosyodontopediatria.com,41,D,50,40,40,30,,no,no,no,
clinicadentalsantabarbara.com,41,D,50,29,74,10,NCweb,no,no,no,
clinicacosdent.com,59,C,49,100,40,30,,no,no,no,14.08
costaricadentalteam.com,72,B,75,78,82,46,WordPress,sí,sí,no,2.14
dentalinstitutecr.com,44,D,26,54,62,40,WordPress,no,sí,no,17.16
aestheticdentalcr.com,73,B,99,88,56,30,WordPress,no,sí,no,1.66
