host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
samborocostarica.com,65,C,52,74,80,56,WordPress,sí,sí,no,5.63
porceramica.com,64,C,52,88,82,26,Wix,sí,sí,no,5.39
techdeckflooring.com,79,B,71,88,100,56,WordPress,sí,sí,no,5.11
pisoslaminados.com,55,C,50,75,72,16,Starfield,sí,no,no,
pisoslaminadoscostarica.com,61,C,57,81,66,30,WordPress,no,sí,no,26.1
extralum.com,54,D,32,100,40,30,,no,no,no,15.49
vitrocentro.com,51,D,24,78,64,40,WordPress,no,sí,no,12.79
lamar-cr.com,46,D,68,48,56,0,WordPress,no,no,no,7.23
rcglasscostarica.com,70,B,86,64,100,26,Hostinger,sí,no,no,3.47
coboscr.com,71,B,91,100,40,30,,no,no,no,1.87
crtechos.com,73,B,77,90,90,26,WordPress,sí,no,no,4.5
svnroof.com,41,D,50,40,40,30,,no,no,no,
vyasa.co.cr,51,D,63,78,44,0,WordPress,no,no,no,9.45
coolservicecr.com,66,C,91,85,66,0,WordPress,no,no,no,2.93
sairecr.com,67,C,77,90,72,10,Wix,no,no,no,4.32
viclimacr.com,64,C,66,74,62,46,,sí,sí,no,6.61
climatizacr.com,42,D,61,43,56,0,,no,no,no,7.71
tecnolambda.com,64,C,52,73,80,52,,sí,sí,sí,18.99
