host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
haciendadoka.cr,61,C,75,64,68,26,Shopify,sí,no,no,5.65
cafebritt.cr,57,C,42,69,90,26,Shopify,sí,no,no,15.12
gourmetfields.com,62,C,50,58,68,82,WordPress,sí,sí,sí,15.94
caticachocolates.com,62,C,70,78,72,16,WordPress,sí,no,no,5.33
nahuachocolate.com,45,D,53,42,74,10,WordPress,no,no,no,13.5
sibochocolate.com,81,A,73,100,90,56,Shopify,sí,sí,no,5.6
villanatura.cr,61,C,57,78,68,36,Shopify,sí,sí,no,9.46
mercato.cr,43,D,50,58,22,30,,no,sí,no,
figoecomercado.com,55,C,51,85,40,30,,no,no,no,16.37
boginatural.com,73,B,50,90,100,56,WordPress,sí,sí,no,
ecomunamarket.com,83,A,78,78,90,92,WordPress,sí,sí,sí,5.84
senchateaco.com,73,B,67,68,78,82,WordPress,sí,sí,sí,3.68
calma.cr,71,B,38,95,90,66,Shopify,sí,sí,no,11.32
cafe1820.com,59,C,47,80,62,40,WordPress,no,sí,no,16.67
organicocr.store,51,D,78,34,72,16,WordPress,sí,no,no,4.43
natura506shop.com,47,D,56,58,52,10,WordPress,no,no,no,32.59
greencentercr.com,63,C,63,78,62,40,WordPress,no,sí,no,12.18
kiloalimentos.com,68,C,56,100,80,26,Shopify,sí,no,no,11.23
