host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
cafe1820.com,53,D,29,80,62,40,WordPress,no,sí,no,14.95
cafebritt.cr,55,C,37,69,90,26,Shopify,sí,no,no,8.18
cafedealtura.cr,57,C,36,83,64,40,WordPress,no,sí,no,20.28
caferojo.net,67,C,62,83,72,46,Wix,sí,sí,no,9.15
truecoffeeshop.com,36,E,50,54,22,0,WordPress,no,no,no,
cafealamoda.com,66,C,50,73,90,56,Starfield,sí,sí,no,
decafeencafe.com,42,D,32,46,52,40,WordPress,no,sí,no,15.8
tastepuravida.com,52,D,44,83,40,30,,no,no,no,22.76
coopedota.com,51,D,31,42,80,66,WordPress,sí,sí,no,33.15
starbucks.cr,41,D,50,40,40,30,,no,no,no,
