host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
cinemagaly.com,65,C,44,90,100,26,,sí,no,no,12.2
cinemarkca.com,41,D,52,36,34,40,,no,sí,no,14.75
cinepolis.co.cr,49,D,29,54,52,66,WordPress,no,sí,sí,18.54
novacinemas.cr,53,D,55,56,50,46,WordPress,sí,sí,no,17.74
oxigeno.com,63,C,58,88,66,30,,no,sí,no,8.8
adondeirhoy.com,41,D,50,40,40,30,,no,no,no,
fiestaycarnaval.com,65,C,50,90,88,26,Wix,sí,no,no,8.88
partytimecr.com,68,C,50,90,64,66,WordPress,no,sí,sí,
ineventos.com,70,B,92,82,72,16,,sí,no,no,3.1
eventos.cr,49,D,84,50,44,0,Next.js,no,no,no,4.6
jmeventos.com,59,C,56,56,82,46,JM,sí,sí,no,22.43
fiestacentro.com,48,D,41,42,90,26,WordPress,sí,no,no,8.79
crturnos.com,57,C,62,70,56,30,,no,sí,no,4.65
starticket.cr,41,D,50,40,40,30,,no,no,no,
