host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
tecnimuebles.com,61,C,48,78,70,46,WordPress,sí,sí,no,7.93
mueblescruznazir.com,59,C,63,76,74,10,WordPress,no,no,no,5.18
mueblespuravida.com,61,C,37,95,62,46,Wix,sí,sí,no,9.27
closetycocinas.com,70,B,60,59,90,82,WordPress,sí,sí,sí,7.28
muebleriajadher.com,52,D,86,40,40,30,,no,no,no,3.78
schenca.com,68,C,100,80,40,30,,no,no,no,0.79
web.costaricamuebles.com,55,C,64,36,100,26,Joomla!,sí,no,no,10.13
entornoscr.com,57,C,43,100,40,30,,no,no,no,20.68
muebleskawana.com,72,B,55,64,100,82,WordPress,sí,sí,sí,3.75
laurazaragoza.com,67,C,63,78,84,40,WordPress,no,sí,no,6.6
kasakoncept.com,64,C,55,88,64,40,WordPress,no,sí,no,7.88
bodegafurnitureco.com,58,C,57,88,64,10,Shopify,no,no,no,18.75
designmuebleria.com,75,B,50,80,100,82,,sí,sí,sí,
muebleseugenio.com,56,C,44,64,72,46,WordPress,sí,sí,no,14.7
ebasarchi.com,75,B,84,100,82,16,Astro,sí,no,no,3.42
muebleartecrc.com,66,C,50,83,82,46,Wix,sí,sí,no,
mueblesalvarezcr.com,36,E,44,32,50,16,WordPress,sí,no,no,54.31
laebanisteriacr.com,41,D,50,40,40,30,,no,no,no,
ebaniacarpinteria.com,64,C,75,62,90,26,,sí,no,no,6.63
carpinteriaangelotero.com,58,C,57,78,56,30,WordPress,no,sí,no,16.28
casaelitemueblescr.com,54,D,95,70,22,0,,no,no,no,2.1
ebanostudio.co,51,D,50,90,44,0,Wix,no,no,no,
muebles.co.cr,51,D,59,60,44,30,,no,sí,no,9.56
aimarcarpinteria.com,37,E,40,46,54,0,WordPress,no,no,no,14.2
euromobilia.com,58,C,95,56,34,30,WordPress,no,sí,no,2.1
