host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
remodela.co.cr,64,C,60,55,90,56,,sí,sí,no,24.36
constructoraseraa.com,41,D,50,40,40,30,,no,no,no,
ecoksa.com,39,E,37,44,62,10,WordPress,no,no,no,64.69
mediterraneo.cr,52,D,73,36,68,26,,sí,no,no,4.51
ticonstru.com,68,C,77,65,82,46,Next.js,sí,sí,no,4.45
proycon.com,46,D,50,73,46,0,WordPress,no,no,no,
constructorapiaco.com,41,D,50,29,74,10,,no,no,no,
urbania.cr,54,D,99,44,54,0,,no,no,no,1.68
constructoragybsacr.com,61,C,64,41,90,56,,sí,sí,no,33.6
edica.co.cr,72,B,63,90,62,66,WordPress,no,sí,sí,5.04
beecostarica.com,67,C,56,90,74,40,WordPress,no,sí,no,19.66
gacmi.net,59,C,50,100,40,30,,no,no,no,
gonzalezymarin.com,63,C,48,85,74,40,WordPress,no,sí,no,21.29
manprose.com,62,C,57,73,74,40,WordPress,no,sí,no,13.8
remodelaciones.co.cr,63,C,92,69,64,10,blogger,no,no,no,2.93
grupoconstruarte.com,53,D,54,64,70,16,Wix,sí,no,no,7.26
remodelaciones.cr,64,C,63,64,82,46,,sí,sí,no,20.41
constructorakyl.com,41,D,50,40,40,30,,no,no,no,
naturalhomescr.com,50,D,48,48,78,26,,sí,no,no,23.36
grupozenna.com,60,C,53,100,40,30,,no,no,no,18.63
facoli.com,62,C,67,92,40,30,,no,no,no,6.2
milenium3cr.com,61,C,55,100,40,30,,no,no,no,11.02
concreblockcr.com,37,E,41,38,50,16,WordPress,sí,no,no,16.41
