host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
componenteselectronicoscr.com,51,D,57,66,62,10,,no,no,no,15.52
steren.cr,69,C,54,82,90,52,,sí,sí,sí,26.25
electrocr.tech,78,B,68,100,74,66,WordPress,no,sí,sí,7.95
innovacellcr.com,51,D,23,100,40,30,,no,no,no,11.05
radioshack.cr,49,D,50,60,62,20,,no,sí,no,
xiaomistore.co.cr,51,D,35,78,74,10,WordPress,no,no,no,4.73
intelec.co.cr,60,C,34,76,80,56,WordPress,sí,sí,no,16.95
pacifiko.cr,41,D,50,40,40,30,,no,no,no,
vrcellcr.com,70,B,66,78,78,56,Shopify,sí,sí,no,6.44
unimart.com,52,D,44,80,62,10,Shopify,no,no,no,6.99
crtechcore.com,68,C,79,49,90,56,Starfield,sí,sí,no,5.1
cyberteamcr.com,48,D,59,52,62,10,,no,no,no,8.33
cr.epaenlinea.com,52,D,50,62,52,40,,no,sí,no,
cqnetcr.com,62,C,35,58,88,82,Tienda,sí,sí,sí,6.09
watekinc.com,71,B,54,86,90,56,WordPress,sí,sí,no,5.63
lenovo.com,57,C,50,92,40,30,,no,no,no,14.31
extremetechcr.com,49,D,70,45,40,30,,no,no,no,1.39
tiendatechcr.com,68,C,60,68,68,82,Odoo,sí,sí,sí,25.16
crcompuvision.com,64,C,66,100,40,30,,no,no,no,16.76
cococo.co.cr,37,E,55,26,22,40,,no,sí,no,11.19
laptoppartscr.com,61,C,63,92,40,30,,no,no,no,15.24
smart.cr,44,D,36,64,62,10,Shopify,no,no,no,6.28
