host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
botoxcostarica.com,71,B,100,90,40,30,,no,no,no,0.79
dralips.com,76,B,83,78,80,56,Hostinger,sí,sí,no,2.56
clinicadigarda.com,62,C,63,86,72,16,Wix,sí,no,no,8.4
drajenireegutierrez.com,69,C,67,66,90,56,,sí,sí,no,25.83
clinicaeclatebeauty.com,57,C,50,61,90,26,WordPress,sí,no,no,
star-belle.com,54,D,50,78,62,16,WordPress,sí,no,no,
spamedicalcr.com,69,C,64,88,72,46,WordPress,sí,sí,no,4.81
centropielysalud.com,59,C,64,74,72,16,Wix,sí,no,no,8.81
medicinaesteticacr.com,73,B,55,90,90,56,WordPress,sí,sí,no,20.68
angeluscr.com,84,A,86,95,90,56,WordPress,sí,sí,no,1.2
artefacial.com,71,B,50,88,90,56,WordPress,sí,sí,no,5.37
cec.cr,41,D,50,40,40,30,,no,no,no,
clinicaalfaro.com,60,C,50,88,84,10,Wix,no,no,no,10.12
consultoriocardenas.com,62,C,50,66,82,56,WordPress,sí,sí,no,8.06
clinicasantaisabelcr.com,58,C,70,43,72,46,WordPress,sí,sí,no,3.33
faceandbodycarecentercostarica.com,54,D,33,56,78,56,WordPress,sí,sí,no,13
csisaludintegral.com,72,B,88,68,82,46,WordPress,sí,sí,no,3.78
europiel.cr,52,D,58,34,50,72,,sí,sí,sí,6.21
clinicaintegralcordero.com,70,B,85,90,70,16,Next.js,sí,no,no,3.78
mediluxcr.com,66,C,64,58,90,56,,sí,sí,no,7.55
facialbeautycr.com,69,C,67,78,82,46,WordPress,sí,sí,no,5.6
delaser.net,53,D,54,25,72,72,Webflow,sí,sí,sí,17.38
luxuzuri.com,71,B,100,78,72,16,WordPress,sí,no,no,1.23
drarubio.com,61,C,56,100,40,30,,no,no,no,12.41
bodyandsoulcr.com,51,D,75,32,52,40,WordPress,no,sí,no,6.38
clinicaesbelt.com,41,D,50,40,40,30,,no,no,no,
clinicathuel.com,69,C,57,78,88,56,Wix,sí,sí,no,4.77
luxdermacr.com,43,D,50,60,22,30,,no,sí,no,16.39
dermalightcostarica.com,55,C,32,90,68,26,Wix,sí,no,no,6.29
cirugiaesteticacostarica.com,53,D,54,36,78,52,,sí,sí,sí,5.72
centroslooks.com,41,D,50,40,40,30,,no,no,no,
chloeestheticcentercr.com,58,C,57,88,64,10,WordPress,no,no,no,12.78
skincarecenter.pro,76,B,99,88,82,16,WordPress,sí,no,no,1.59
