host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
tiendauniversal.com,50,D,50,46,78,26,WordPress,sí,no,no,
vitafuerte.com,62,C,53,85,64,40,WordPress,no,sí,no,18.46
costaricamall.net,58,C,50,80,68,26,,sí,no,no,
cicadexfitnesspro.com,62,C,50,71,64,66,WordPress,no,sí,sí,
cicadexstore.com,64,C,18,73,90,92,WordPress,sí,sí,sí,14.2
store.mmaequipamientos.com,66,C,50,69,100,52,Shopify,sí,sí,sí,
deportica.com,53,D,39,92,40,30,,no,no,no,69.16
asncostarica.com,63,C,66,68,72,40,WordPress,no,sí,no,4.58
adntienda.com,53,D,29,100,40,30,,no,no,no,7.23
cryogacenter.com,60,C,55,100,66,0,Wix,no,no,no,9.52
akonfitness.com,57,C,36,64,68,66,Shopify,sí,sí,no,9.23
