host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
ikea.cr,56,C,50,61,74,40,,no,sí,no,
monnry.com,83,A,89,83,90,66,Shopify,sí,sí,no,2.58
andryinternacional.com,41,D,50,40,40,30,,no,no,no,
canvaspopup.com,37,E,59,36,44,0,WordPress,no,no,no,8.55
store.ashley.cr,49,D,15,42,78,82,,sí,sí,sí,49.49
casaymascr.com,51,D,23,100,40,30,,no,no,no,21.86
innomuebles.com,51,D,59,42,78,26,,sí,no,no,7.65
almacendelhogar.net,71,B,44,90,100,56,,sí,sí,no,11.53
mercadodelmueblesa.com,48,D,38,58,68,26,WordPress,sí,no,no,26.7
euroconfort.co.cr,60,C,43,68,78,56,WordPress,sí,sí,no,4.35
sofa.gruposantamaria.cr,50,D,83,46,38,16,,sí,no,no,4.51
aliss.cr,63,C,51,90,84,20,,no,sí,no,44.03
salotticr.com,67,C,50,76,90,56,,sí,sí,no,
muebleskawana.com,76,B,69,64,100,82,WordPress,sí,sí,sí,3.83
nalakalu.com,58,C,50,73,64,40,WordPress,no,sí,no,
grupoakiro.com,72,B,31,88,90,90,,sí,sí,sí,26.19
mueblesalvarado.com,73,B,55,90,90,56,,sí,sí,no,9.56
gollo.com,52,D,14,70,100,36,,sí,sí,no,13.61
pricesmart.com,39,E,30,50,44,30,Vue,no,sí,no,15.63
crateandbarrel.co.cr,60,C,50,100,64,10,Shopify,no,no,no,
cr.siman.com,65,C,31,90,72,72,vtex.render-server@8.180.1,sí,sí,sí,26.4
