host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
pacifiko.cr,41,D,50,40,40,30,,no,no,no,
maskoticascr.com,66,C,45,68,78,82,WordPress,sí,sí,sí,23.66
unimart.com,56,C,59,80,62,10,Shopify,no,no,no,7
petfood.cr,41,D,50,40,40,30,,no,no,no,
tobipets.com,67,C,51,64,80,82,WordPress,sí,sí,sí,19.45
coqueticos.com,65,C,60,100,74,10,Shopify,no,no,no,11.34
zoomies.cr,40,D,60,60,22,0,,no,no,no,10.37
tiendapetlifecr.com,55,C,67,76,52,10,Shopify,no,no,no,11.41
petsavenuecr.net,63,C,92,78,52,10,Shopify,no,no,no,3.08
diamondpetcr.com,61,C,65,90,62,10,Wix,no,no,no,11.78
concentradosapm.com,71,B,72,100,82,16,Wix,sí,no,no,4.62
mascotasgo.com,62,C,50,68,78,56,WordPress,sí,sí,no,
tienda.pequenomundo.com,41,D,50,40,40,30,,no,no,no,
doghoodcr.com,61,C,43,88,80,26,Wix,sí,no,no,9.48
hipermascotas.cr,46,D,59,54,52,10,,no,no,no,17.02
