host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
clinicaumay.com,42,D,49,35,56,30,,no,sí,no,16.25
pediaclinic.cr,74,B,41,76,100,92,WordPress,sí,sí,sí,37.33
dranataliapediatra.com,40,D,50,68,22,0,WordPress,no,no,no,
clinicaevacr.com,51,D,33,41,90,56,WordPress,sí,sí,no,16.06
clinicadrmanuelvindas.com,41,D,50,40,40,30,,no,no,no,
ortocolumnacostarica.com,59,C,60,66,78,26,WordPress,sí,no,no,9.22
centrokidoz.com,66,C,72,100,40,30,,no,no,no,9.34
medcare.cr,59,C,56,81,72,16,Wix,sí,no,no,7.39
centrosmedicosbonanzacr.com,54,D,42,52,82,46,,sí,sí,no,7.17
centromedicosanjoaquin.com,74,B,100,68,70,46,WordPress,sí,sí,no,1.52
orthopedik.net,69,C,60,88,84,40,WordPress,no,sí,no,11.32
ghclinica.com,69,C,70,78,84,40,WordPress,no,sí,no,5.01
centromedicoasuncion.com,58,C,56,92,40,30,,no,no,no,19.69
microcirugiaocularylaser.com,55,C,65,86,46,0,Wix,no,no,no,9.98
oftalmejia.com,58,C,47,100,40,30,,no,no,no,13.35
oftalmologia.co.cr,39,E,59,10,52,40,,no,sí,no,10.82
centrooftalmologico.cr,56,C,54,56,70,46,WordPress,sí,sí,no,6.58
gastrocr.com,52,D,66,50,54,30,,no,sí,no,12.08
oftalmocostarica.com,62,C,50,80,90,26,Starfield,sí,no,no,
gastrocentrocr.com,61,C,51,56,90,56,,sí,sí,no,32.36
urologia.care,41,D,50,40,40,30,,no,no,no,
valverdeorl.com,55,C,45,81,74,10,Wix,no,no,no,4.99
dracarranzaotorrino.com,66,C,52,80,60,72,Squarespace,sí,sí,sí,24.58
saludmental.co.cr,61,C,60,85,56,30,WordPress,no,sí,no,8.32
urologiacostarica.com,57,C,52,92,40,30,,no,no,no,11.28
clinicacasabienestar.com,62,C,50,90,82,16,WordPress,sí,no,no,
clinicaskn.com,50,D,81,42,50,16,WordPress,sí,no,no,3.3
communitascr.com,45,D,35,78,54,0,Wix,no,no,no,6.28
dermatologaruizmoh.co.cr,50,D,63,35,64,40,,no,sí,no,6.42
consusalud.co.cr,56,C,92,66,44,0,,no,no,no,2.7
totaldermatologycr.com,41,D,50,40,40,30,,no,no,no,
cncsalud.com,57,C,46,68,78,36,WordPress,sí,sí,no,24.15
