host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
laconfianza.com,70,B,50,100,90,36,Shopify,sí,sí,no,
jackysfashion.com,58,C,50,88,74,10,Shopify,no,no,no,
hymstore.com,53,D,50,50,88,26,PrestaShop,sí,no,no,
bombshellcr.com,61,C,50,86,62,40,Shopify,no,sí,no,
garpercr.com,68,C,50,90,64,66,WordPress,no,sí,sí,
dvicioshop.com,58,C,100,45,40,30,,no,no,no,0.77
calvinklein.cr,41,D,50,40,40,30,,no,no,no,
pacaloca.com,58,C,46,100,40,30,,no,no,no,13.88
modapistacho.com,66,C,37,78,100,56,,sí,sí,no,13.75
esprit.shop,53,D,53,90,22,30,vtex.render-server@8.180.1,no,sí,no,36.26
luzamcr.com,68,C,100,80,40,30,,no,no,no,0.78
cr.lineupshop.com,58,C,38,86,64,40,Shopify,no,sí,no,17.89
zara.com,41,D,50,40,40,30,,no,no,no,
strawberry.cr,41,D,50,40,40,30,,no,no,no,
kairicr.com,73,B,49,78,90,82,,sí,sí,sí,13.88
calalunacr.com,68,C,46,90,78,56,WordPress,sí,sí,no,20.76
limonysalcr.com,69,C,32,78,100,82,,sí,sí,sí,12.99
ekmoda.com,69,C,18,90,100,82,,sí,sí,sí,17.14
