host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
piscinas.cr,61,C,75,38,78,56,nopCommerce,sí,sí,no,4.7
dreampooldesign.com,70,B,40,90,82,72,Webflow,sí,sí,sí,7.38
piscinasatlantik.com,50,D,35,78,72,10,Wix,no,no,no,8.79
piscinasyspasjireh.com,68,C,57,71,90,56,WordPress,sí,sí,no,10.5
aquapoolcostarica.com,54,D,54,47,90,26,WordPress,sí,no,no,33.27
piscinasluxart.com,45,D,50,32,78,26,WordPress,sí,no,no,
piscinasinfinity.com,51,D,54,66,60,16,WordPress,sí,no,no,14.47
constructorapiscinaspicado.com,58,C,54,92,40,30,,no,no,no,7.34
rynpiscinas.com,67,C,64,74,82,46,,sí,sí,no,17.86
piscinas-costarica.com,73,B,67,90,82,46,Next.js,sí,sí,no,6.31
aquadeuscr.com,59,C,89,52,74,10,Hostinger,no,no,no,3.46
acuarium.com,66,C,50,88,84,40,WordPress,no,sí,no,9.08
arrusp.com,60,C,57,54,78,56,WordPress,sí,sí,no,14.65
ecosistemasnaturalescr.com,37,E,32,54,38,16,,sí,no,no,13.13
ecoterra.co.cr,57,C,36,78,72,40,WordPress,no,sí,no,31.2
tropicatica.com,71,B,51,83,100,56,WordPress,sí,sí,no,12.01
beelandscapingcr.com,67,C,59,73,80,56,WordPress,sí,sí,no,11.4
paisartecr.com,65,C,64,95,74,10,Wix,no,no,no,9.16
eco-jardines.com,49,D,56,58,62,10,WordPress,no,no,no,7.59
topxteriors.com,64,C,68,100,40,30,,no,no,no,4.99
mariafernandagil.com,35,E,93,18,10,0,,no,no,no,3.04
deckfactorycr.com,59,C,50,100,40,30,,no,no,no,24.76
decoartcr.com,55,C,63,46,72,40,WordPress,no,sí,no,11.19
groncr.com,56,C,60,58,62,40,WordPress,no,sí,no,21.98
