host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
picnic.co.cr,41,D,50,40,40,30,,no,no,no,
bulali.co.cr,41,D,50,40,40,30,,no,no,no,
vinomuundo.co.cr,41,D,50,40,40,30,,no,no,no,
elmosaico.co.cr,41,D,50,40,40,30,,no,no,no,
franco.co.cr,41,D,50,40,40,30,,no,no,no,
theshabbychihouse.com,41,D,50,40,40,30,,no,no,no,
santerest.com,41,D,50,40,40,30,,no,no,no,
vascocuisine.com,41,D,50,40,40,30,,no,no,no,
lacentralcantina.com,41,D,50,40,40,30,,no,no,no,
masfish.co.cr,41,D,50,40,40,30,,no,no,no,
henrysbeach.com,41,D,50,40,40,30,,no,no,no,
terrazatoscana.co.cr,41,D,50,40,40,30,,no,no,no,
