host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
elsilenciolodge.com,41,D,50,40,40,30,,no,no,no,
mioderma.com,41,D,50,40,40,30,,no,no,no,
myspa-cr.com,59,C,37,83,74,40,WordPress,no,sí,no,4.36
presencespa.com,51,D,54,54,52,40,WordPress,no,sí,no,13.08
purejunglespa.com,60,C,68,76,72,10,Wix,no,no,no,6.96
ayanaspacr.com,62,C,75,54,90,26,Starfield,sí,no,no,4.35
maison-spa.com,51,D,65,56,44,30,WordPress,no,sí,no,6.44
anamaya.com,55,C,50,64,46,56,WordPress,no,sí,sí,
spalopia.com,59,C,58,82,74,10,,no,no,no,267.48
magicspacr.com,56,C,73,90,34,0,WordPress,no,no,no,4.35
