host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
toursfestival.com,66,C,57,52,82,82,,sí,sí,sí,11.16
visitcostarica.com,59,C,46,74,74,40,,no,sí,no,5.58
nadaincluido.com,59,C,51,71,74,40,WordPress,no,sí,no,6.11
tourradar-viajes.com,73,B,62,100,84,40,,no,sí,no,7.12
crstours.com,74,B,37,88,100,82,WordPress,sí,sí,sí,10.65
govisitcostarica.co.cr,67,C,50,90,84,40,,no,sí,no,
aventuracanopytour.com,61,C,38,100,66,30,WordPress,no,sí,no,5.61
adventurecrtours.com,55,C,62,44,88,26,WordPress,sí,no,no,6.55
costarica.org,61,C,31,66,84,76,WordPress,no,sí,sí,17.35
arenalmundoaventura.com,72,B,78,76,82,46,WordPress,sí,sí,no,5.32
ecoaventuras.co.cr,54,D,58,23,90,56,,sí,sí,no,47.34
canoa-aventura.com,51,D,56,78,56,0,,no,no,no,14.01
gadventures.com,49,D,41,70,46,30,Next.js,no,sí,no,21.15
wildwaterrafting.com,74,B,56,90,74,76,WordPress,no,sí,sí,13.2
canopyoriginal.com,68,C,52,78,90,56,WordPress,sí,sí,no,14.32
