host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
porceramica.com,63,C,50,88,82,26,Wix,sí,sí,no,
samborocostarica.com,67,C,57,74,80,56,WordPress,sí,sí,no,5.85
pisoslaminadoscostarica.com,56,C,56,73,74,10,WordPress,no,no,no,17.51
techdeckflooring.com,81,A,62,88,100,82,WordPress,sí,sí,sí,7.27
pisoslaminados.com,61,C,50,95,72,16,Starfield,sí,no,no,
extralum.com,67,C,29,78,90,82,WordPress,sí,sí,sí,14.81
lamar-cr.com,49,D,70,56,56,0,WordPress,no,no,no,7.08
vitrocentro.com,60,C,52,78,64,40,WordPress,no,sí,no,12.45
rcglasscostarica.com,64,C,65,64,100,26,Hostinger,sí,no,no,7.32
svnroof.com,62,C,53,76,72,46,WordPress,sí,sí,no,8.28
coboscr.com,79,B,84,76,72,82,WordPress,sí,sí,sí,1.88
crtechos.com,69,C,64,90,90,26,WordPress,sí,no,no,8.48
vyasa.co.cr,39,E,57,42,44,0,WordPress,no,no,no,30.01
coolservicecr.com,67,C,94,85,66,0,WordPress,no,no,no,2.93
viclimacr.com,64,C,66,74,62,46,,sí,sí,no,6.52
climatizacr.com,54,D,62,43,56,56,,no,sí,sí,7.38
sairecr.com,64,C,68,90,72,10,Wix,no,no,no,4.93
tecnolambda.com,64,C,52,73,80,52,,sí,sí,sí,18.88
