host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
gourmetfields.com,63,C,52,58,68,82,WordPress,sí,sí,sí,17.02
haciendadoka.cr,61,C,38,64,68,82,Shopify,sí,sí,sí,12.87
cafebritt.cr,69,C,46,69,90,82,Shopify,sí,sí,sí,10
caticachocolates.com,66,C,82,78,72,16,WordPress,sí,no,no,4.73
nahuachocolate.com,52,D,54,42,74,40,WordPress,no,sí,no,17.2
villanatura.cr,72,B,54,78,68,92,Shopify,sí,sí,sí,13.05
sibochocolate.com,82,A,58,100,90,82,Shopify,sí,sí,sí,5.94
mercato.cr,46,D,56,44,22,56,,no,sí,sí,20.57
ecomunamarket.com,83,A,77,78,90,92,WordPress,sí,sí,sí,5.84
boginatural.com,74,B,54,90,100,56,WordPress,sí,sí,no,23.22
calma.cr,74,B,58,95,64,76,Shopify,no,sí,sí,5.68
senchateaco.com,65,C,43,68,78,82,WordPress,sí,sí,sí,11.32
figoecomercado.com,73,B,50,78,90,82,WordPress,sí,sí,sí,
greencentercr.com,63,C,63,78,62,40,WordPress,no,sí,no,11.73
cafe1820.com,58,C,45,80,62,40,WordPress,no,sí,no,16.75
natura506shop.com,48,D,55,58,52,20,WordPress,no,sí,no,32.48
organicocr.store,53,D,84,34,72,16,WordPress,sí,no,no,3.91
kiloalimentos.com,82,A,83,100,80,56,Shopify,sí,sí,no,3.9
