host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
kosmeticscr.com,73,B,51,78,90,82,WordPress,sí,sí,sí,19.02
crcosmetica.com,57,C,89,78,34,0,Shopify,no,no,no,3.38
bebeautycostarica.com,76,B,45,88,90,90,Shopify,sí,sí,sí,17.31
beauticitycr.com,74,B,72,82,74,66,Shopify,no,sí,sí,7.42
hibeautycr.com,73,B,61,90,72,66,Shopify,no,sí,sí,17.03
coccocosmetics.com,41,D,50,40,40,30,,no,no,no,
kalaluacr.com,80,A,58,88,100,82,WordPress,sí,sí,sí,14.25
dermaluxcr.com,79,B,67,76,100,82,Shopify,sí,sí,sí,4.91
kokoacr.com,67,C,47,56,78,100,WordPress,sí,sí,sí,26.35
cr.faces.com,44,D,31,34,38,82,vtex.render-server@8.180.1,sí,sí,sí,13.43
cosmeticoscostarica.store,61,C,52,66,62,66,WordPress,no,sí,sí,16.44
cr.loccitane.com,64,C,50,100,74,20,Shopify,no,sí,no,
credobeauty.com,63,C,50,76,62,66,Shopify,no,sí,sí,
recapbeauty.com,62,C,50,74,90,36,Shopify,sí,sí,no,
needbeauty.com,68,C,50,100,64,50,Shopify,no,sí,no,
