host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
cafebritt.cr,67,C,41,69,90,82,Shopify,sí,sí,sí,7.58
cafedealtura.cr,60,C,46,83,64,40,WordPress,no,sí,no,22.75
caferojo.net,75,B,70,83,72,72,Wix,sí,sí,sí,6.51
cafe1820.com,59,C,50,80,62,40,WordPress,no,sí,no,
truecoffeeshop.com,36,E,50,54,22,0,WordPress,no,no,no,
cafealamoda.com,65,C,50,69,90,56,Starfield,sí,sí,no,
decafeencafe.com,44,D,38,46,52,40,WordPress,no,sí,no,16.62
tastepuravida.com,61,C,53,72,52,66,WordPress,no,sí,sí,22.01
starbucks.cr,41,D,50,40,40,30,,no,no,no,
coopedota.com,63,C,57,37,80,92,WordPress,sí,sí,sí,28.73
