host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
cinemagaly.com,65,C,43,90,100,26,,sí,no,no,13.49
cinemarkca.com,44,D,43,36,34,66,,no,sí,sí,7.3
cinepolis.co.cr,49,D,29,54,52,66,WordPress,no,sí,sí,20.25
oxigeno.com,69,C,62,88,66,56,,no,sí,sí,11.52
novacinemas.cr,46,D,28,56,50,56,WordPress,sí,sí,no,8.33
partytimecr.com,67,C,45,90,64,66,WordPress,no,sí,sí,39.42
adondeirhoy.com,41,D,50,40,40,30,,no,no,no,
fiestaycarnaval.com,67,C,57,90,88,26,Wix,sí,no,no,8.66
eventos.cr,52,D,75,50,44,30,Next.js,no,sí,no,8.13
jmeventos.com,63,C,54,64,82,56,JM,sí,sí,no,22.43
ineventos.com,57,C,97,70,34,0,,no,no,no,2.34
fiestacentro.com,55,C,64,42,90,26,WordPress,sí,no,no,7.88
crturnos.com,66,C,61,100,56,30,,no,sí,no,18
starticket.cr,41,D,50,40,40,30,,no,no,no,
