host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
tecnimuebles.com,67,C,50,78,88,56,WordPress,sí,sí,no,
mueblescruznazir.com,60,C,67,76,74,10,WordPress,no,no,no,11.53
closetycocinas.com,70,B,60,59,90,82,WordPress,sí,sí,sí,7.22
mueblespuravida.com,66,C,34,95,62,72,Wix,sí,sí,sí,9.48
entornoscr.com,66,C,46,100,40,69,,no,sí,sí,20.6
schenca.com,65,C,100,80,40,13,,no,no,no,0.78
web.costaricamuebles.com,56,C,65,36,100,26,Joomla!,sí,no,no,10.13
muebleriajadher.com,41,D,50,40,40,30,,no,no,no,
muebleskawana.com,79,B,78,64,100,82,WordPress,sí,sí,sí,3.08
laurazaragoza.com,69,C,69,78,84,40,WordPress,no,sí,no,4.86
bodegafurnitureco.com,65,C,60,88,64,40,Shopify,no,sí,no,18.9
kasakoncept.com,70,B,59,88,64,66,WordPress,no,sí,sí,5.8
designmuebleria.com,75,B,50,80,100,82,,sí,sí,sí,
muebleseugenio.com,56,C,44,64,72,46,WordPress,sí,sí,no,14.33
ebasarchi.com,73,B,77,100,82,16,Astro,sí,no,no,4.12
muebleartecrc.com,66,C,50,83,82,46,Wix,sí,sí,no,
mueblesalvarezcr.com,39,E,55,32,50,16,WordPress,sí,no,no,51.12
laebanisteriacr.com,41,D,50,40,40,30,,no,no,no,
aimarcarpinteria.com,40,D,50,46,54,0,WordPress,no,no,no,
ebaniacarpinteria.com,65,C,77,62,90,26,,sí,no,no,5.57
casaelitemueblescr.com,52,D,97,62,22,0,,no,no,no,1.67
ebanostudio.co,61,C,45,90,44,56,Wix,no,sí,sí,9.48
euromobilia.com,60,C,100,56,34,30,WordPress,no,sí,no,0.93
muebles.co.cr,57,C,63,60,44,56,,no,sí,sí,9.18
carpinteriaangelotero.com,56,C,50,78,56,30,WordPress,no,sí,no,
