host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
constructoraseraa.com,48,D,48,34,90,26,WordPress,sí,no,no,11.59
remodela.co.cr,41,D,50,40,40,30,,no,no,no,
proycon.com,49,D,61,73,46,0,WordPress,no,no,no,8.48
mediterraneo.cr,52,D,75,36,68,26,,sí,no,no,4.51
ecoksa.com,42,D,30,44,62,36,WordPress,no,sí,sí,65.41
ticonstru.com,68,C,76,65,82,46,Next.js,sí,sí,no,4.54
constructorapiaco.com,47,D,53,29,74,36,,no,sí,sí,31.15
edica.co.cr,72,B,64,90,62,66,WordPress,no,sí,sí,6.77
urbania.net,57,C,42,61,64,66,WordPress,no,sí,sí,6.33
constructoragybsacr.com,61,C,65,41,90,56,,sí,sí,no,39.17
beecostarica.com,70,B,50,90,74,66,WordPress,no,sí,sí,
gacmi.net,62,C,50,100,40,43,,no,sí,no,
grupoconstruarte.com,61,C,45,64,70,72,Wix,sí,sí,sí,9.63
gonzalezymarin.com,62,C,54,77,74,40,WordPress,no,sí,no,30.06
remodelaciones.co.cr,63,C,90,69,64,10,blogger,no,no,no,3.15
remodelaciones.cr,63,C,62,64,82,46,,sí,sí,no,20.15
manprose.com,62,C,58,73,74,40,WordPress,no,sí,no,13.95
constructorakyl.com,41,D,50,40,40,30,,no,no,no,
naturalhomescr.com,46,D,35,48,78,26,,sí,no,no,24.47
grupozenna.com,71,B,59,76,84,66,WordPress,no,sí,sí,11.87
facoli.com,45,D,66,29,74,10,,no,no,no,16.71
milenium3cr.com,71,B,55,100,66,56,WordPress,no,sí,sí,11.08
concreblockcr.com,40,D,50,38,50,16,WordPress,sí,no,no,
