host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
componenteselectronicoscr.com,50,D,58,60,62,10,,no,no,no,15.49
innovacellcr.com,61,C,30,100,40,69,,no,sí,sí,13.91
steren.cr,74,B,50,82,90,82,,sí,sí,sí,15.8
electrocr.tech,77,B,59,100,74,74,WordPress,no,sí,sí,7.8
intelec.co.cr,70,B,48,76,80,82,WordPress,sí,sí,sí,11.22
xiaomistore.co.cr,62,C,35,78,74,66,WordPress,no,sí,sí,6.9
radioshack.cr,55,C,50,60,62,50,,no,sí,no,
unimart.com,70,B,55,80,62,84,Shopify,no,sí,sí,6.82
pacifiko.cr,41,D,50,40,40,30,,no,no,no,
vrcellcr.com,74,B,62,78,78,82,Shopify,sí,sí,sí,4.98
crtechcore.com,59,C,50,49,90,56,Starfield,sí,sí,no,
extremetechcr.com,53,D,97,45,40,13,,no,no,no,2.42
cyberteamcr.com,55,C,47,52,62,66,,no,sí,sí,6.23
cqnetcr.com,65,C,38,66,88,82,Tienda,sí,sí,sí,4.56
cr.epaenlinea.com,66,C,50,72,64,84,,no,sí,sí,
lenovo.com,67,C,46,90,64,66,,no,sí,sí,15.68
watekinc.com,78,B,60,86,90,82,WordPress,sí,sí,sí,5.78
crcompuvision.com,58,C,58,100,40,13,,no,no,no,16.76
smart.cr,57,C,40,64,62,66,Shopify,no,sí,sí,6
tiendatechcr.com,68,C,57,68,68,82,Odoo,sí,sí,sí,24.64
cococo.co.cr,43,D,49,34,22,66,,no,sí,sí,11.01
laptoppartscr.com,58,C,71,46,88,26,WordPress,sí,no,no,6.83
