host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
botoxcostarica.com,68,C,100,90,40,13,,no,no,no,0.76
dralips.com,81,A,84,78,80,82,Hostinger,sí,sí,sí,2.4
clinicadigarda.com,68,C,63,86,72,46,Wix,sí,sí,no,18.43
drajenireegutierrez.com,69,C,67,66,90,56,,sí,sí,no,23.11
clinicaeclatebeauty.com,57,C,50,61,90,26,WordPress,sí,no,no,
spamedicalcr.com,68,C,60,88,72,46,WordPress,sí,sí,no,4.46
star-belle.com,54,D,50,78,62,16,WordPress,sí,no,no,
medicinaesteticacr.com,73,B,55,90,90,56,WordPress,sí,sí,no,39.49
centropielysalud.com,61,C,50,74,72,46,Wix,sí,sí,no,9.33
angeluscr.com,82,A,81,95,90,56,WordPress,sí,sí,no,2
artefacial.com,74,B,44,88,90,82,WordPress,sí,sí,sí,6.04
clinicaalfaro.com,58,C,44,88,84,10,Wix,no,no,no,10.65
cec.cr,69,C,50,64,90,82,WordPress,sí,sí,sí,
consultoriocardenas.com,69,C,53,66,82,82,WordPress,sí,sí,sí,10.15
clinicasantaisabelcr.com,65,C,77,45,72,72,WordPress,sí,sí,sí,3.68
csisaludintegral.com,68,C,50,68,82,82,WordPress,sí,sí,sí,
faceandbodycarecentercostarica.com,57,C,43,56,78,56,WordPress,sí,sí,no,20.86
europiel.cr,51,D,56,34,50,72,,sí,sí,sí,12.43
clinicaintegralcordero.com,70,B,86,90,70,16,Next.js,sí,no,no,3.71
delaser.net,60,C,60,25,90,82,Webflow,sí,sí,sí,4.42
facialbeautycr.com,64,C,50,78,82,46,WordPress,sí,sí,no,
luxuzuri.com,71,B,100,78,72,16,WordPress,sí,no,no,1.23
mediluxcr.com,60,C,46,58,90,56,,sí,sí,no,4.53
clinicathuel.com,72,B,50,78,88,82,Wix,sí,sí,sí,
drarubio.com,53,D,56,64,56,30,WordPress,no,sí,no,12.32
clinicaesbelt.com,41,D,50,40,40,30,,no,no,no,
bodyandsoulcr.com,43,D,50,32,52,40,WordPress,no,sí,no,
dermalightcostarica.com,60,C,48,90,68,26,Wix,sí,no,no,5.62
luxdermacr.com,46,D,59,60,22,30,,no,sí,no,17.67
chloeestheticcentercr.com,58,C,55,88,64,10,WordPress,no,no,no,25.57
centroslooks.com,69,C,51,78,100,52,WordPress,sí,sí,sí,22.46
skincarecenter.pro,72,B,88,88,82,16,WordPress,sí,no,no,3.1
cirugiaesteticacostarica.com,52,D,50,36,78,52,,sí,sí,sí,
