host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
costaricamall.net,67,C,80,80,68,26,,sí,no,no,4.32
vitafuerte.com,61,C,32,85,64,66,WordPress,no,sí,sí,14.93
tiendauniversal.com,56,C,50,46,78,56,WordPress,sí,sí,no,4.5
cicadexfitnesspro.com,62,C,50,71,64,66,WordPress,no,sí,sí,
store.mmaequipamientos.com,72,B,51,69,100,82,Shopify,sí,sí,sí,14.92
cicadexstore.com,66,C,26,73,90,92,WordPress,sí,sí,sí,16.18
deportica.com,59,C,27,76,74,66,WordPress,no,sí,sí,37.99
adntienda.com,56,C,15,100,40,69,,no,sí,sí,5.42
asncostarica.com,64,C,53,68,72,66,WordPress,no,sí,sí,6.3
cryogacenter.com,61,C,58,100,66,0,Wix,no,no,no,6.76
akonfitness.com,66,C,50,64,68,92,Shopify,sí,sí,sí,5.85
