host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
monnry.com,73,B,88,100,40,43,,no,sí,no,2.71
andryinternacional.com,41,D,50,40,40,30,,no,no,no,
ikea.cr,60,C,43,100,40,43,,no,sí,no,18.71
store.ashley.cr,62,C,51,42,78,92,,sí,sí,sí,64.01
canvaspopup.com,40,D,59,44,44,0,WordPress,no,no,no,8.4
casaymascr.com,65,C,6,88,100,82,WordPress,sí,sí,sí,29.73
innomuebles.com,57,C,42,42,78,82,,sí,sí,sí,18.15
almacendelhogar.net,69,C,36,90,100,56,,sí,sí,no,15.29
mercadodelmueblesa.com,54,D,43,58,68,52,WordPress,sí,sí,sí,26.45
salotticr.com,63,C,36,76,90,56,,sí,sí,no,23.87
aliss.cr,63,C,32,90,84,50,,no,sí,no,14.57
euroconfort.co.cr,57,C,33,68,78,56,WordPress,sí,sí,no,9.01
sofa.gruposantamaria.cr,43,D,68,38,38,16,,sí,no,no,6.39
muebleskawana.com,74,B,61,64,100,82,WordPress,sí,sí,sí,3.08
nalakalu.com,77,B,87,83,64,66,WordPress,no,sí,sí,3.19
grupoakiro.com,75,B,42,88,90,90,,sí,sí,sí,27.31
mueblesalvarado.com,80,A,62,90,90,82,,sí,sí,sí,9.26
gollo.com,65,C,14,70,100,100,,sí,sí,sí,17.36
crateandbarrel.co.cr,41,D,50,40,40,30,,no,no,no,
pricesmart.com,39,E,16,58,44,40,Vue,no,sí,no,11.44
cr.siman.com,69,C,38,90,72,82,vtex.render-server@8.180.1,sí,sí,sí,24.98
