host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
pacifiko.cr,41,D,50,40,40,30,,no,no,no,
unimart.com,70,B,58,92,40,87,,no,sí,sí,6.98
maskoticascr.com,66,C,44,68,78,82,WordPress,sí,sí,sí,23.77
petfood.cr,41,D,50,40,40,30,,no,no,no,
zoomies.cr,40,D,59,60,22,0,,no,no,no,10.37
tobipets.com,69,C,46,64,80,100,WordPress,sí,sí,sí,16.96
tiendapetlifecr.com,41,D,50,40,40,30,,no,no,no,
diamondpetcr.com,61,C,65,90,62,10,Wix,no,no,no,8.39
coqueticos.com,41,D,50,40,40,30,,no,no,no,
concentradosapm.com,77,B,71,100,82,46,Wix,sí,sí,no,5.08
petsavenuecr.net,41,D,50,40,40,30,,no,no,no,
mascotasgo.com,62,C,50,68,78,56,WordPress,sí,sí,no,
tienda.pequenomundo.com,41,D,50,40,40,30,,no,no,no,
hipermascotas.cr,43,D,61,40,52,10,,no,no,no,14.75
doghoodcr.com,37,E,38,34,22,56,Wix,no,sí,sí,15.12
