host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
clinicaumay.com,46,D,60,35,56,30,,no,sí,no,16.18
pediaclinic.cr,78,B,55,76,100,92,WordPress,sí,sí,sí,36.59
dranataliapediatra.com,63,C,68,73,46,56,WordPress,no,sí,sí,7.28
clinicaevacr.com,58,C,54,41,90,56,WordPress,sí,sí,no,12.65
clinicadrmanuelvindas.com,41,D,50,40,40,30,,no,no,no,
centrokidoz.com,66,C,74,88,56,30,WordPress,no,sí,no,9.34
ortocolumnacostarica.com,58,C,59,66,78,26,WordPress,sí,no,no,9.91
medcare.cr,45,D,83,54,22,0,,no,no,no,3.53
centrosmedicosbonanzacr.com,50,D,50,52,82,16,,sí,no,no,7.77
centromedicosanjoaquin.com,73,B,99,68,70,46,WordPress,sí,sí,no,1.56
ghclinica.com,73,B,82,78,84,40,WordPress,no,sí,no,4.08
orthopedik.net,71,B,49,88,84,66,WordPress,no,sí,sí,11.44
oftalmejia.com,57,C,56,100,40,13,,no,no,no,11.94
microcirugiaocularylaser.com,53,D,60,86,46,0,Wix,no,no,no,11.05
centromedicoasuncion.com,56,C,42,42,72,82,WordPress,sí,sí,sí,14
oftalmologia.co.cr,39,E,60,10,52,40,,no,sí,no,9.5
gastrocr.com,53,D,70,50,54,30,,no,sí,no,8.34
gastrocentrocr.com,60,C,45,56,90,56,,sí,sí,no,31.69
oftalmocostarica.com,72,B,66,80,90,52,Starfield,sí,sí,sí,5.93
centrooftalmologico.cr,55,C,50,56,70,46,WordPress,sí,sí,no,
dracarranzaotorrino.com,63,C,42,80,60,72,Squarespace,sí,sí,sí,15.5
urologia.care,71,B,72,78,82,46,WordPress,sí,sí,no,4.2
valverdeorl.com,64,C,40,81,74,66,Wix,no,sí,sí,4.31
saludmental.co.cr,58,C,50,85,56,30,WordPress,no,sí,no,
urologiacostarica.com,54,D,45,46,60,72,WordPress,sí,sí,sí,11.38
communitascr.com,57,C,39,78,54,56,Wix,no,sí,sí,7.56
clinicaskn.com,54,D,87,50,50,16,WordPress,sí,no,no,3.09
dermatologaruizmoh.co.cr,48,D,57,35,64,40,,no,sí,no,6.27
totaldermatologycr.com,41,D,50,40,40,30,,no,no,no,
clinicacasabienestar.com,65,C,62,90,82,16,WordPress,sí,no,no,8.28
consusalud.co.cr,56,C,91,66,44,0,,no,no,no,2.88
cncsalud.com,58,C,50,68,78,36,WordPress,sí,sí,no,
