host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
hymstore.com,63,C,63,50,88,56,PrestaShop,sí,sí,no,4.7
laconfianza.com,86,A,65,100,90,92,Shopify,sí,sí,sí,18
garpercr.com,66,C,59,76,62,66,Shopify,no,sí,sí,14.83
jackysfashion.com,60,C,38,88,74,36,Shopify,no,sí,sí,7.71
bombshellcr.com,67,C,52,86,62,66,Shopify,no,sí,sí,6.63
pacaloca.com,62,C,48,68,78,56,WordPress,sí,sí,no,30.98
dvicioshop.com,54,D,100,45,40,13,,no,no,no,0.77
calvinklein.cr,41,D,50,40,40,30,,no,no,no,
modapistacho.com,75,B,50,78,100,82,,sí,sí,sí,14.1
cr.lineupshop.com,67,C,44,86,74,66,Shopify,no,sí,sí,22.78
luzamcr.com,65,C,100,80,40,13,,no,no,no,0.78
esprit.shop,59,C,48,90,22,64,vtex.render-server@8.180.1,no,sí,sí,6.18
kairicr.com,72,B,48,78,90,82,,sí,sí,sí,9.56
zara.com,23,E,50,12,22,0,,no,no,no,
strawberry.cr,41,D,50,40,40,30,,no,no,no,
calalunacr.com,73,B,45,90,78,82,WordPress,sí,sí,sí,6.6
ekmoda.com,77,B,46,90,100,82,,sí,sí,sí,22.7
limonysalcr.com,69,C,29,78,100,82,,sí,sí,sí,16.08
