host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
piscinas.cr,60,C,73,38,78,56,nopCommerce,sí,sí,no,5.16
piscinasatlantik.com,55,C,52,78,72,10,Wix,no,no,no,9.05
piscinasluxart.com,45,D,50,32,78,26,WordPress,sí,no,no,
dreampooldesign.com,76,B,59,90,82,72,Webflow,sí,sí,sí,11.13
aquapoolcostarica.com,55,C,58,47,90,26,WordPress,sí,no,no,33.11
piscinasyspasjireh.com,66,C,50,71,90,56,WordPress,sí,sí,no,7.35
constructorapiscinaspicado.com,54,D,48,42,78,56,WordPress,sí,sí,no,17.19
piscinas-costarica.com,81,A,94,90,82,46,Next.js,sí,sí,no,2.88
rynpiscinas.com,69,C,69,74,82,46,,sí,sí,no,8.07
piscinasinfinity.com,51,D,53,66,60,16,WordPress,sí,no,no,12.98
aquadeuscr.com,56,C,78,52,74,10,Hostinger,no,no,no,4.51
acuarium.com,64,C,42,88,84,40,WordPress,no,sí,no,7.8
arrusp.com,60,C,56,54,78,56,WordPress,sí,sí,no,14.65
ecoterra.co.cr,62,C,55,78,72,40,WordPress,no,sí,no,31.37
ecosistemasnaturalescr.com,41,D,27,54,56,26,,sí,no,no,25.65
tropicatica.com,73,B,55,83,100,56,WordPress,sí,sí,no,11.93
paisartecr.com,71,B,66,95,74,40,Wix,no,sí,no,8.62
eco-jardines.com,47,D,50,58,62,10,WordPress,no,no,no,
beelandscapingcr.com,68,C,64,73,80,56,WordPress,sí,sí,no,7.06
topxteriors.com,69,C,67,73,80,56,WordPress,sí,sí,no,7.31
decoartcr.com,55,C,63,46,72,40,WordPress,no,sí,no,10.43
deckfactorycr.com,59,C,34,85,72,46,Squarespace,sí,sí,no,25.67
mariafernandagil.com,37,E,92,24,10,0,,no,no,no,3.07
groncr.com,54,D,55,58,62,40,WordPress,no,sí,no,21.9
