host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
elsilenciolodge.com,41,D,50,40,40,30,,no,no,no,
myspa-cr.com,61,C,43,83,74,40,WordPress,no,sí,no,4.54
mioderma.com,41,D,50,40,40,30,,no,no,no,
presencespa.com,52,D,58,54,52,40,WordPress,no,sí,no,13.15
purejunglespa.com,59,C,67,76,72,10,Wix,no,no,no,7.26
maison-spa.com,52,D,67,56,44,30,WordPress,no,sí,no,6.47
ayanaspacr.com,54,D,50,54,90,26,Starfield,sí,no,no,
anamaya.com,49,D,32,64,46,56,WordPress,no,sí,sí,10.13
magicspacr.com,57,C,61,90,34,26,WordPress,no,sí,sí,9.46
spalopia.com,73,B,52,90,74,76,,no,sí,sí,242.06
