host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
toursfestival.com,75,B,61,60,100,92,,sí,sí,sí,8.51
visitcostarica.com,63,C,37,74,74,76,,no,sí,sí,22.49
tourradar-viajes.com,75,B,68,100,84,40,,no,sí,no,6.16
govisitcostarica.co.cr,68,C,55,90,84,40,,no,sí,no,16.46
nadaincluido.com,59,C,50,71,74,40,WordPress,no,sí,no,
aventuracanopytour.com,70,B,70,100,66,30,WordPress,no,sí,no,4.39
crstours.com,77,B,48,88,100,82,WordPress,sí,sí,sí,8.83
costarica.org,64,C,40,66,84,76,WordPress,no,sí,sí,23.64
adventurecrtours.com,55,C,63,44,88,26,WordPress,sí,no,no,6.53
arenalmundoaventura.com,77,B,94,76,82,46,WordPress,sí,sí,no,2.14
ecoaventuras.co.cr,53,D,56,23,90,56,,sí,sí,no,42.81
canoa-aventura.com,57,C,56,78,56,30,,no,sí,no,23.79
gadventures.com,59,C,46,70,56,64,Next.js,no,sí,sí,17.99
wildwaterrafting.com,72,B,51,90,74,76,WordPress,no,sí,sí,14.33
canopyoriginal.com,67,C,49,78,90,56,WordPress,sí,sí,no,17.22
