host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
freshdentalcr.com,71,B,59,81,90,56,WordPress,sí,sí,no,13.8
jysdentalcare.com,45,D,96,40,22,0,,no,no,no,2.17
clinicapertenesercr.com,71,B,51,78,78,82,Wix,sí,sí,sí,10.58
clinicagoodsmile.com,60,C,56,73,62,46,WordPress,sí,sí,no,9.63
clinicadentalcoto.com,54,D,77,56,62,10,WordPress,no,no,no,4.93
dcdentalcr.com,76,B,55,90,78,82,WordPress,sí,sí,sí,20.01
costaricadentalsmile.com,69,C,70,95,66,30,Wix,no,sí,no,10.74
clinicadentalrociodelgadoaiza.com,76,B,97,100,56,30,WordPress,no,sí,no,2.48
casadenscr.com,57,C,56,78,56,30,WordPress,no,sí,no,6.33
dentalteamcr.com,60,C,64,70,82,16,Next.js,sí,no,no,12.5
clinicanavarrogarcia.com,69,C,55,80,88,56,WordPress,sí,sí,no,21.4
qadentalcare.com,54,D,51,49,72,46,WordPress,sí,sí,no,11.59
clinicadulcenombre.com,49,D,58,44,68,26,WordPress,sí,no,no,22.82
alphadent-cr.com,50,D,47,60,72,16,WordPress,sí,no,no,8.51
clinicavictorsanchez.com,53,D,67,34,74,40,,no,sí,no,7.19
primedentalcr.com,54,D,71,73,40,13,,no,no,no,3.85
maxilofacialalajuela.com,72,B,58,100,84,40,Wix,no,sí,no,4.4
arguedassanchezdental.com,59,C,41,100,40,43,,no,sí,no,10.2
moreradental.com,41,D,50,40,40,30,,no,no,no,
draadrianagutierrez.com,67,C,66,78,72,46,WordPress,sí,sí,no,7.17
odontoser.clinic,64,C,71,64,90,26,Next.js,sí,no,no,6.86
dentalhealthcostarica.com,56,C,60,56,78,26,WordPress,sí,no,no,17.73
bestdentcr.com,64,C,55,100,72,16,Wix,sí,no,no,9.6
smiledentalcare.cr,61,C,60,64,72,46,WordPress,sí,sí,no,7.35
dentuscr.wordpress.com,73,B,77,73,74,66,WordPress,no,sí,sí,5.88
dentistcostarica.com,52,D,39,66,44,56,,no,sí,sí,6.38
dentalavenuecr.com,60,C,50,73,74,40,WordPress,no,sí,no,
admiradentalcr.com,61,C,69,90,50,16,Wix,sí,no,no,6.58
costaricanbiodental.com,53,D,56,58,68,26,WordPress,sí,no,no,12.79
santaanadent.com,41,D,47,54,54,0,WordPress,no,no,no,11.86
gildentalclinic.com,67,C,50,80,60,82,WordPress,sí,sí,sí,
frenillosyodontopediatria.com,41,D,50,40,40,30,,no,no,no,
arcodental.com,46,D,49,54,44,30,WordPress,no,sí,no,7.76
centromedicotresrios.com,74,B,83,78,82,46,Next.js,sí,sí,no,4.39
clinicadentalsantabarbara.com,49,D,78,29,74,10,NCweb,no,no,no,4.13
costaricadentalteam.com,78,B,91,78,82,56,WordPress,sí,sí,no,2.12
clinicacosdent.com,67,C,46,64,90,82,WordPress,sí,sí,sí,15.72
dentalinstitutecr.com,49,D,40,54,62,40,WordPress,no,sí,no,8.58
aestheticdentalcr.com,71,B,54,88,74,66,WordPress,no,sí,sí,13.43
